SPECTRUM - MS
D:\BRODBELT_DATA\Kyle\Supercharging\11122021\Ubq\Std\11122021_Ubq_Std_8+_UVPD2m1p.raw
Data points: 497
Mass,Intensity
4616.4628,9024.26
4629.511,40856.88
4657.507,19162.54
4673.5235,19750.86
4692.5275,203150.74
4700.5159,8701.27
4714.5366,5973.05
4730.5452,48829.51
4758.5499,57037.08
4785.5635,10548.28
4805.6135,132602.16
4814.5774,7095.61
4844.5891,43410.77
4847.6873,5713.15
4862.6329,19467.97
4887.5827,85625.47
4918.6931,267327.27
4927.6814,7073.34
4972.658,63079.67
4987.6678,46676.92
5015.6793,105693.54
5021.7746,22512.42
5043.731,36170.93
5057.7123,23271.31
5065.7634,351380.36
5077.7497,10154.83
5087.7098,41687.27
5102.7292,15266.37
5130.6948,95301.82
5136.7961,97235.58
5145.7892,26428.35
5149.801,14240.29
5157.7325,9012.13
5187.7371,14204.31
5193.82,65646.42
5215.7626,93463.72
5230.7864,30682.22
5258.7728,76435.42
5343.8748,24249.01
5370.8324,14974.99
5391.9291,11702.62
5411.9484,3982.74
5449.9685,87238.48
5453.9114,21898.42
5457.9257,35875.69
5471.9656,84062.04
5482.9809,4403.75
5492.0312,6988.9
5523.958,10947.59
5527.9513,61607.93
5541.9875,20391.85
5563.0471,148131.57
5569.974,41603.03
5692.1035,115064.75
5754.1483,6814.4
5771.1495,3320.09
5818.1637,23783.67
5864.1335,56443.95
5869.1641,37933.2
5884.2011,16821.66
5912.1836,21196.09
5939.2286,10106.95
5968.2287,4453.74
5996.221,4833.01
5998.2179,65179.98
6020.2475,161737.94
6041.2348,14901.33
6063.2869,5547.18
6064.2764,29887.37
6103.287,125204.85
6111.3108,35334.58
6121.3204,26643.97
6126.2987,6015.72
6153.3775,4366.57
6164.3007,12953.58
6166.3331,6352.29
6182.3558,25415.4
6211.378,117950.44
6234.3924,109538.38
6248.3479,5833.83
6255.382,8839.98
6278.4178,5295.14
6297.3936,14201.28
6303.4065,16682.65
6321.4212,52648.73
6327.3979,70148.72
6391.4482,31036.73
6413.4195,68366.74
6436.4417,168209.46
6454.3963,9653.39
6457.3977,83949.7
6463.4266,38849.24
6481.471,18081.18
6484.4888,6088.02
6496.4485,8139.94
6499.4497,85754.97
6522.4564,40757.69
6526.4681,440008.94
6555.4831,42793.24
6582.4961,153554.41
6595.5057,10802.93
6599.4983,176517.94
6640.4908,252102.26
6668.5555,8505.33
6682.5086,30693.16
6712.5452,13046.75
6739.5817,4832.45
6754.5892,6920.3
6782.6128,86879.5
6825.6269,56387.57
6867.6171,34188.76
6883.6307,36806.31
6911.6121,59096.12
6981.7049,23329.6
7079.7723,17443.11
7082.7806,197926.95
7098.7737,18299.5
7125.7393,108340.68
7136.756,11348.64
7152.8194,40989.33
7165.8259,12357.12
7195.8321,17470.51
7207.829,10203.68
7211.8421,161701.62
7235.8387,5296.13
7238.8692,67901.62
7297.8789,127343.76
7339.894,46750.38
7366.9236,6168.95
7381.906,92301.15
7397.9034,3948.09
7399.8877,30870.66
7512.9795,101071.32
7524.9704,38711.14
7526.0002,13710.83
7553.0416,33879.42
7582.0338,56927.39
7599.0361,9568.76
7626.0611,31295.54
7649.0434,59368.24
7653.0611,20875.66
7682.0571,6040.13
7696.0979,86774
7711.125,40186.24
7738.1314,16940.74
7751.1161,8647.37
7760.1285,10782.69
7763.1381,11057.45
7766.1414,60142.7
7797.2108,83043.28
7814.2212,7586.26
7840.1934,19923.72
7861.2016,53310.21
7924.2874,57284.95
7940.2975,43192.46
7968.2588,28629.82
7975.3109,38218.11
7996.3014,46935.13
8024.3117,80424.33
8039.3567,40965.33
8067.3482,61119.05
8076.334,8920.05
8131.3941,248431.65
8142.4156,11531.16
8171.3849,47134.27
8186.4255,41160.4
8214.4301,52865.41
8243.4409,145729.94
8255.4886,12080.64
